REF_DATE,GEO,Products and product groups,UOM,COORDINATE,VALUE
1971-08-01,Canada,Goods,2002=100,2.274,22.2
1971-08-01,Canada,Services,2002=100,2.282,20
1971-09-01,Canada,All-items,2002=100,2.2,21.1
1971-09-01,Canada,Food,2002=100,2.3,19
1971-09-01,Canada,Mortgage interest cost,2002=100,2.85,21.8
1971-09-01,Canada,Transportation,2002=100,2.176,19.2
1971-09-01,Canada,All-items excluding food,2002=100,2.284,22.2
1971-09-01,Canada,All-items excluding food and energy,2002=100,2.285,23.6
1971-09-01,Canada,Energy,2002=100,2.288,13.7
1971-09-01,Canada,Goods,2002=100,2.274,22
1971-09-01,Canada,Services,2002=100,2.282,20.1
1971-10-01,Canada,All-items,2002=100,2.2,21.2
1971-10-01,Canada,Food,2002=100,2.3,19
1971-10-01,Canada,Mortgage interest cost,2002=100,2.85,22.1
1971-10-01,Canada,Transportation,2002=100,2.176,19.3
1971-10-01,Canada,All-items excluding food,2002=100,2.284,22.3
1971-10-01,Canada,All-items excluding food and energy,2002=100,2.285,23.7
1971-10-01,Canada,Energy,2002=100,2.288,13.7
1971-10-01,Canada,Goods,2002=100,2.274,22
1971-10-01,Canada,Services,2002=100,2.282,20.3
1971-11-01,Canada,All-items,2002=100,2.2,21.2
1971-11-01,Canada,Food,2002=100,2.3,19
1971-11-01,Canada,Mortgage interest cost,2002=100,2.85,22.1
1971-11-01,Canada,Transportation,2002=100,2.176,19.2
1971-11-01,Canada,All-items excluding food,2002=100,2.284,22.4
1971-11-01,Canada,All-items excluding food and energy,2002=100,2.285,23.7
1971-11-01,Canada,Energy,2002=100,2.288,13.8
1971-11-01,Canada,Goods,2002=100,2.274,22.1
1971-11-01,Canada,Services,2002=100,2.282,20.4
1971-12-01,Canada,All-items,2002=100,2.2,21.3
1971-12-01,Canada,Food,2002=100,2.3,19.3
1971-12-01,Canada,Mortgage interest cost,2002=100,2.85,22.1
1971-12-01,Canada,Transportation,2002=100,2.176,19.3
1971-12-01,Canada,All-items excluding food,2002=100,2.284,22.5
1971-12-01,Canada,All-items excluding food and energy,2002=100,2.285,23.9
1971-12-01,Canada,Energy,2002=100,2.288,13.8
1971-12-01,Canada,Goods,2002=100,2.274,22.3
1971-12-01,Canada,Services,2002=100,2.282,20.4
1972-01-01,Canada,All-items,2002=100,2.2,21.4
1972-01-01,Canada,Food,2002=100,2.3,19.4
1972-01-01,Canada,Mortgage interest cost,2002=100,2.85,22.6
1972-01-01,Canada,Transportation,2002=100,2.176,19.3
1972-01-01,Canada,All-items excluding food,2002=100,2.284,22.6
1972-01-01,Canada,All-items excluding food and energy,2002=100,2.285,23.9
1972-01-01,Canada,Energy,2002=100,2.288,13.9
1972-01-01,Canada,Goods,2002=100,2.274,22.4
1972-01-01,Canada,Services,2002=100,2.282,20.5
1972-02-01,Canada,All-items,2002=100,2.2,21.5
1972-02-01,Canada,Food,2002=100,2.3,19.6
1972-02-01,Canada,Mortgage interest cost,2002=100,2.85,22.6
1972-02-01,Canada,Transportation,2002=100,2.176,19.3
1972-02-01,Canada,All-items excluding food,2002=100,2.284,22.6
1972-02-01,Canada,All-items excluding food and energy,2002=100,2.285,23.9
1972-02-01,Canada,Energy,2002=100,2.288,13.9
1972-02-01,Canada,Goods,2002=100,2.274,22.6
1972-02-01,Canada,Services,2002=100,2.282,20.5
1972-03-01,Canada,All-items,2002=100,2.2,21.6
1972-03-01,Canada,Food,2002=100,2.3,19.5
1972-03-01,Canada,Mortgage interest cost,2002=100,2.85,22.6
1972-03-01,Canada,Transportation,2002=100,2.176,19.5
1972-03-01,Canada,All-items excluding food,2002=100,2.284,22.6
1972-03-01,Canada,All-items excluding food and energy,2002=100,2.285,23.9
1972-03-01,Canada,Energy,2002=100,2.288,14
1972-03-01,Canada,Goods,2002=100,2.274,22.6
1972-03-01,Canada,Services,2002=100,2.282,20.6
1972-04-01,Canada,All-items,2002=100,2.2,21.7
1972-04-01,Canada,Food,2002=100,2.3,19.7
1972-04-01,Canada,Mortgage interest cost,2002=100,2.85,23
1972-04-01,Canada,Transportation,2002=100,2.176,19.5
1972-04-01,Canada,All-items excluding food,2002=100,2.284,22.7
1972-04-01,Canada,All-items excluding food and energy,2002=100,2.285,24.1
1972-04-01,Canada,Energy,2002=100,2.288,14
1972-04-01,Canada,Goods,2002=100,2.274,22.7
1972-04-01,Canada,Services,2002=100,2.282,20.7
1972-05-01,Canada,All-items,2002=100,2.2,21.7
1972-05-01,Canada,Food,2002=100,2.3,19.5
1972-05-01,Canada,Mortgage interest cost,2002=100,2.85,23
1972-05-01,Canada,Transportation,2002=100,2.176,19.5
1972-05-01,Canada,All-items excluding food,2002=100,2.284,22.8
1972-05-01,Canada,All-items excluding food and energy,2002=100,2.285,24.3
1972-05-01,Canada,Energy,2002=100,2.288,14
1972-05-01,Canada,Goods,2002=100,2.274,22.7
1972-05-01,Canada,Services,2002=100,2.282,20.8
1972-06-01,Canada,All-items,2002=100,2.2,21.7
1972-06-01,Canada,Food,2002=100,2.3,19.5
1972-06-01,Canada,Mortgage interest cost,2002=100,2.85,23
1972-06-01,Canada,Transportation,2002=100,2.176,19.6
1972-06-01,Canada,All-items excluding food,2002=100,2.284,22.8
1972-06-01,Canada,All-items excluding food and energy,2002=100,2.285,24.3
1972-06-01,Canada,Energy,2002=100,2.288,14
1972-06-01,Canada,Goods,2002=100,2.274,22.8
1972-06-01,Canada,Services,2002=100,2.282,20.9
1972-07-01,Canada,All-items,2002=100,2.2,22
1972-07-01,Canada,Food,2002=100,2.3,20.2
1972-07-01,Canada,Mortgage interest cost,2002=100,2.85,23.4
1972-07-01,Canada,Transportation,2002=100,2.176,19.6
1972-07-01,Canada,All-items excluding food,2002=100,2.284,22.9
1972-07-01,Canada,All-items excluding food and energy,2002=100,2.285,24.3
1972-07-01,Canada,Energy,2002=100,2.288,14
1972-07-01,Canada,Goods,2002=100,2.274,23
1972-07-01,Canada,Services,2002=100,2.282,21
1972-08-01,Canada,All-items,2002=100,2.2,22.2
1972-08-01,Canada,Food,2002=100,2.3,20.7
1972-08-01,Canada,Mortgage interest cost,2002=100,2.85,23.4
1972-08-01,Canada,Transportation,2002=100,2.176,19.6
1972-08-01,Canada,All-items excluding food,2002=100,2.284,22.9
1972-08-01,Canada,All-items excluding food and energy,2002=100,2.285,24.4
1972-08-01,Canada,Energy,2002=100,2.288,14
1972-08-01,Canada,Goods,2002=100,2.274,23.1
1972-08-01,Canada,Services,2002=100,2.282,21.2
1972-09-01,Canada,All-items,2002=100,2.2,22.3
1972-09-01,Canada,Food,2002=100,2.3,20.9
1972-09-01,Canada,Mortgage interest cost,2002=100,2.85,23.4
1972-09-01,Canada,Transportation,2002=100,2.176,19.7
1972-09-01,Canada,All-items excluding food,2002=100,2.284,23
1972-09-01,Canada,All-items excluding food and energy,2002=100,2.285,24.5
1972-09-01,Canada,Energy,2002=100,2.288,14
1972-09-01,Canada,Goods,2002=100,2.274,23.2
1972-09-01,Canada,Services,2002=100,2.282,21.2
1972-10-01,Canada,All-items,2002=100,2.2,22.3
1972-10-01,Canada,Food,2002=100,2.3,20.6
1972-10-01,Canada,Mortgage interest cost,2002=100,2.85,23.9
1972-10-01,Canada,Transportation,2002=100,2.176,19.6
1972-10-01,Canada,All-items excluding food,2002=100,2.284,23.1
1972-10-01,Canada,All-items excluding food and energy,2002=100,2.285,24.6
1972-10-01,Canada,Energy,2002=100,2.288,14
1972-10-01,Canada,Goods,2002=100,2.274,23.2
1972-10-01,Canada,Services,2002=100,2.282,21.2
1972-11-01,Canada,All-items,2002=100,2.2,22.3
1972-11-01,Canada,Food,2002=100,2.3,20.6
1972-11-01,Canada,Mortgage interest cost,2002=100,2.85,24.4
1972-11-01,Canada,Transportation,2002=100,2.176,19.5
1972-11-01,Canada,All-items excluding food,2002=100,2.284,23.2
1972-11-01,Canada,All-items excluding food and energy,2002=100,2.285,24.7
1972-11-01,Canada,Energy,2002=100,2.288,14
1972-11-01,Canada,Goods,2002=100,2.274,23.2
1972-11-01,Canada,Services,2002=100,2.282,21.5
1972-12-01,Canada,All-items,2002=100,2.2,22.4
1972-12-01,Canada,Food,2002=100,2.3,20.9
1972-12-01,Canada,Mortgage interest cost,2002=100,2.85,24.7
1972-12-01,Canada,Transportation,2002=100,2.176,19.6
1972-12-01,Canada,All-items excluding food,2002=100,2.284,23.3
1972-12-01,Canada,All-items excluding food and energy,2002=100,2.285,24.8
1972-12-01,Canada,Energy,2002=100,2.288,14
1972-12-01,Canada,Goods,2002=100,2.274,23.3
1972-12-01,Canada,Services,2002=100,2.282,21.5
1973-01-01,Canada,All-items,2002=100,2.2,22.6
1973-01-01,Canada,Food,2002=100,2.3,21.4
1973-01-01,Canada,Mortgage interest cost,2002=100,2.85,25
1973-01-01,Canada,Transportation,2002=100,2.176,19.6
1973-01-01,Canada,All-items excluding food,2002=100,2.284,23.4
1973-01-01,Canada,All-items excluding food and energy,2002=100,2.285,24.9
1973-01-01,Canada,Energy,2002=100,2.288,14.4
1973-01-01,Canada,Goods,2002=100,2.274,23.7
1973-01-01,Canada,Services,2002=100,2.282,21.7
1973-02-01,Canada,All-items,2002=100,2.2,22.8
1973-02-01,Canada,Food,2002=100,2.3,21.5
1973-02-01,Canada,Mortgage interest cost,2002=100,2.85,25.1
1973-02-01,Canada,Transportation,2002=100,2.176,19.6
1973-02-01,Canada,All-items excluding food,2002=100,2.284,23.5
1973-02-01,Canada,All-items excluding food and energy,2002=100,2.285,24.9
1973-02-01,Canada,Energy,2002=100,2.288,14.6
1973-02-01,Canada,Goods,2002=100,2.274,23.9
1973-02-01,Canada,Services,2002=100,2.282,21.7
1973-03-01,Canada,All-items,2002=100,2.2,22.8
1973-03-01,Canada,Food,2002=100,2.3,21.7
1973-03-01,Canada,Mortgage interest cost,2002=100,2.85,25.2
1973-03-01,Canada,Transportation,2002=100,2.176,19.6
1973-03-01,Canada,All-items excluding food,2002=100,2.284,23.6
1973-03-01,Canada,All-items excluding food and energy,2002=100,2.285,25
1973-03-01,Canada,Energy,2002=100,2.288,14.6
1973-03-01,Canada,Goods,2002=100,2.274,23.9
1973-03-01,Canada,Services,2002=100,2.282,21.8
1973-04-01,Canada,All-items,2002=100,2.2,23.1
1973-04-01,Canada,Food,2002=100,2.3,22.2
1973-04-01,Canada,Mortgage interest cost,2002=100,2.85,25.4
1973-04-01,Canada,Transportation,2002=100,2.176,19.6
1973-04-01,Canada,All-items excluding food,2002=100,2.284,23.6
1973-04-01,Canada,All-items excluding food and energy,2002=100,2.285,25
1973-04-01,Canada,Energy,2002=100,2.288,14.6
1973-04-01,Canada,Goods,2002=100,2.274,24.4
1973-04-01,Canada,Services,2002=100,2.282,22
1973-05-01,Canada,All-items,2002=100,2.2,23.2
1973-05-01,Canada,Food,2002=100,2.3,22.4
1973-05-01,Canada,Mortgage interest cost,2002=100,2.85,25.5
1973-05-01,Canada,Transportation,2002=100,2.176,19.8
1973-05-01,Canada,All-items excluding food,2002=100,2.284,23.8
1973-05-01,Canada,All-items excluding food and energy,2002=100,2.285,25.3
1973-05-01,Canada,Energy,2002=100,2.288,14.8
1973-05-01,Canada,Goods,2002=100,2.274,24.5
1973-05-01,Canada,Services,2002=100,2.282,22.1
1973-06-01,Canada,All-items,2002=100,2.2,23.4
1973-06-01,Canada,Food,2002=100,2.3,22.8
1973-06-01,Canada,Mortgage interest cost,2002=100,2.85,25.8
1973-06-01,Canada,Transportation,2002=100,2.176,19.9
1973-06-01,Canada,All-items excluding food,2002=100,2.284,24
1973-06-01,Canada,All-items excluding food and energy,2002=100,2.285,25.4
1973-06-01,Canada,Energy,2002=100,2.288,15
1973-06-01,Canada,Goods,2002=100,2.274,24.8
1973-06-01,Canada,Services,2002=100,2.282,22.1
1973-07-01,Canada,All-items,2002=100,2.2,23.7
1973-07-01,Canada,Food,2002=100,2.3,23.3
1973-07-01,Canada,Mortgage interest cost,2002=100,2.85,26
1973-07-01,Canada,Transportation,2002=100,2.176,20
1973-07-01,Canada,All-items excluding food,2002=100,2.284,24.1
1973-07-01,Canada,All-items excluding food and energy,2002=100,2.285,25.5
1973-07-01,Canada,Energy,2002=100,2.288,15.2
1973-07-01,Canada,Goods,2002=100,2.274,25.1
1973-07-01,Canada,Services,2002=100,2.282,22.3
1973-08-01,Canada,All-items,2002=100,2.2,24
1973-08-01,Canada,Food,2002=100,2.3,24
1973-08-01,Canada,Mortgage interest cost,2002=100,2.85,26.2
1973-08-01,Canada,Transportation,2002=100,2.176,20.3
1973-08-01,Canada,All-items excluding food,2002=100,2.284,24.2
1973-08-01,Canada,All-items excluding food and energy,2002=100,2.285,25.6
1973-08-01,Canada,Energy,2002=100,2.288,15.6
1973-08-01,Canada,Goods,2002=100,2.274,25.5
1973-08-01,Canada,Services,2002=100,2.282,22.5
1973-09-01,Canada,All-items,2002=100,2.2,24.1
1973-09-01,Canada,Food,2002=100,2.3,24.2
1973-09-01,Canada,Mortgage interest cost,2002=100,2.85,26.5
1973-09-01,Canada,Transportation,2002=100,2.176,20.5
1973-09-01,Canada,All-items excluding food,2002=100,2.284,24.3
1973-09-01,Canada,All-items excluding food and energy,2002=100,2.285,25.7
1973-09-01,Canada,Energy,2002=100,2.288,15.7
1973-09-01,Canada,Goods,2002=100,2.274,25.6
1973-09-01,Canada,Services,2002=100,2.282,22.6
1973-10-01,Canada,All-items,2002=100,2.2,24.2
1973-10-01,Canada,Food,2002=100,2.3,24.2
1973-10-01,Canada,Mortgage interest cost,2002=100,2.85,26.7
1973-10-01,Canada,Transportation,2002=100,2.176,20.5
1973-10-01,Canada,All-items excluding food,2002=100,2.284,24.5
1973-10-01,Canada,All-items excluding food and energy,2002=100,2.285,25.9
1973-10-01,Canada,Energy,2002=100,2.288,15.9
1973-10-01,Canada,Goods,2002=100,2.274,25.7
1973-10-01,Canada,Services,2002=100,2.282,22.7
1973-11-01,Canada,All-items,2002=100,2.2,24.4
1973-11-01,Canada,Food,2002=100,2.3,24.4
1973-11-01,Canada,Mortgage interest cost,2002=100,2.85,27
1973-11-01,Canada,Transportation,2002=100,2.176,20.5
1973-11-01,Canada,All-items excluding food,2002=100,2.284,24.6
1973-11-01,Canada,All-items excluding food and energy,2002=100,2.285,26
1973-11-01,Canada,Energy,2002=100,2.288,16.1
1973-11-01,Canada,Goods,2002=100,2.274,25.9
1973-11-01,Canada,Services,2002=100,2.282,22.7
1973-12-01,Canada,All-items,2002=100,2.2,24.5
1973-12-01,Canada,Food,2002=100,2.3,24.5
1973-12-01,Canada,Mortgage interest cost,2002=100,2.85,27.3
1973-12-01,Canada,Transportation,2002=100,2.176,20.7
1973-12-01,Canada,All-items excluding food,2002=100,2.284,24.8
1973-12-01,Canada,All-items excluding food and energy,2002=100,2.285,26
1973-12-01,Canada,Energy,2002=100,2.288,16.6
1973-12-01,Canada,Goods,2002=100,2.274,26.1
1973-12-01,Canada,Services,2002=100,2.282,22.9
1974-01-01,Canada,All-items,2002=100,2.2,24.7
1974-01-01,Canada,Food,2002=100,2.3,24.8
1974-01-01,Canada,Mortgage interest cost,2002=100,2.85,27.6
1974-01-01,Canada,Transportation,2002=100,2.176,21
1974-01-01,Canada,All-items excluding food,2002=100,2.284,24.9
1974-01-01,Canada,All-items excluding food and energy,2002=100,2.285,26.2
1974-01-01,Canada,Energy,2002=100,2.288,16.6
1974-01-01,Canada,Goods,2002=100,2.274,26.3
1974-01-01,Canada,Services,2002=100,2.282,23
1974-02-01,Canada,All-items,2002=100,2.2,24.9
1974-02-01,Canada,Food,2002=100,2.3,25.4
1974-02-01,Canada,Mortgage interest cost,2002=100,2.85,27.8
1974-02-01,Canada,Transportation,2002=100,2.176,21
1974-02-01,Canada,All-items excluding food,2002=100,2.284,25.1
1974-02-01,Canada,All-items excluding food and energy,2002=100,2.285,26.5
1974-02-01,Canada,Energy,2002=100,2.288,16.6
1974-02-01,Canada,Goods,2002=100,2.274,26.6
1974-02-01,Canada,Services,2002=100,2.282,23.2
1974-03-01,Canada,All-items,2002=100,2.2,25.2
1974-03-01,Canada,Food,2002=100,2.3,25.7
1974-03-01,Canada,Mortgage interest cost,2002=100,2.85,28.1
1974-03-01,Canada,Transportation,2002=100,2.176,21.1
1974-03-01,Canada,All-items excluding food,2002=100,2.284,25.2
1974-03-01,Canada,All-items excluding food and energy,2002=100,2.285,26.7
1974-03-01,Canada,Energy,2002=100,2.288,16.6
1974-03-01,Canada,Goods,2002=100,2.274,27
1974-03-01,Canada,Services,2002=100,2.282,23.3
1974-04-01,Canada,All-items,2002=100,2.2,25.4
1974-04-01,Canada,Food,2002=100,2.3,25.8
1974-04-01,Canada,Mortgage interest cost,2002=100,2.85,28.3
1974-04-01,Canada,Transportation,2002=100,2.176,21.3
1974-04-01,Canada,All-items excluding food,2002=100,2.284,25.5
1974-04-01,Canada,All-items excluding food and energy,2002=100,2.285,27
1974-04-01,Canada,Energy,2002=100,2.288,16.6
1974-04-01,Canada,Goods,2002=100,2.274,27
1974-04-01,Canada,Services,2002=100,2.282,23.5
1974-05-01,Canada,All-items,2002=100,2.2,25.9
1974-05-01,Canada,Food,2002=100,2.3,26.5
1974-05-01,Canada,Mortgage interest cost,2002=100,2.85,28.6
1974-05-01,Canada,Transportation,2002=100,2.176,21.7
